english,dagbani,source,license,domain,verse_id,pair_id,group,split
Good morning,Deseba,demo,demo,general,demo-1,07897353c074a8de,demo-1,train
How are you?,A wuhira?,demo,demo,general,demo-2,701126b952d8efa7,demo-2,train
Thank you,N tipaya,demo,demo,general,demo-3,d003fbecb216e53f,demo-3,train
Please sit down,Moli ninyɔɣu,demo,demo,general,demo-4,a801d690b0a7b631,demo-4,train
Drink water,Nyuri kom,demo,demo,general,demo-5,ed0d81ada4cf2531,demo-5,train
The child is sick,Bia maa bɛri,demo,demo,general,demo-6,a3202e0420f8a9c5,demo-6,train
Go to the clinic,Chani asibiti,demo,demo,general,demo-7,85d74be259ba5476,demo-7,train
Breastfeed your baby,Dihimi a bia bihili,demo,demo,general,demo-8,6199a4d2a1fee540,demo-8,train
Eat soft food,Di bindirigu ŋun mali yoli,demo,demo,general,demo-10,638363894e343d96,demo-10,train
Take the medicine,Di tima maa,demo,demo,general,demo-11,10c1491a87a84072,demo-11,train
Come back tomorrow,Labimi na biɛɣu,demo,demo,general,demo-12,7f9eb9c85cd5a772,demo-12,train
The baby needs milk,Bia maa bora bihili,demo,demo,general,demo-13,606bfd23ac9b692d,demo-13,train
Feed often day and night,Dihimi yuli mini yuŋ,demo,demo,general,demo-15,ca887493de745fb0,demo-15,train
Keep breastfeeding until two years,Dihi bihili hali ni yuun'ayi,demo,demo,general,demo-16,2ae8890d602f0114,demo-16,train
Offer fruit and vegetables,Ti wula mini alibarika,demo,demo,general,demo-17,0aa680477158505a,demo-17,train
Rest when you can,Vuhimi saha shɛli ni,demo,demo,general,demo-18,3f5d30a197d66642,demo-18,train
Ask the health worker,Bɔhi alaafee tumtumda,demo,demo,general,demo-19,60058b7cf36b2b65,demo-19,train
This is important,Ŋɔ nyɛla barina,demo,demo,general,demo-20,ea3cf6220d8643f5,demo-20,train
